step,epoch,loss,cosine,pred_norm,target_norm,lr,ema
0,1,0.007241298444569111,,,,7.500000000000001e-09,1.0
1,1,0.007258164696395397,,,,1.5000000000000002e-08,1.0
2,1,0.007266669068485498,,,,2.2500000000000003e-08,1.0
3,1,0.0072662862949073315,,,,3.0000000000000004e-08,1.0
4,1,0.007282105274498463,,,,3.7500000000000005e-08,1.0
5,1,0.0072643328458070755,,,,4.5000000000000006e-08,1.0
6,1,0.007284131832420826,,,,5.25e-08,1.0
7,1,0.007269597612321377,,,,6.000000000000001e-08,1.0
8,1,0.007263055071234703,,,,6.75e-08,1.0
9,1,0.0072505236603319645,,,,7.500000000000001e-08,1.0
10,1,0.0072451019659638405,,,,8.25e-08,1.0
11,1,0.007264634594321251,,,,9.000000000000001e-08,1.0
12,1,0.007265624590218067,,,,9.749999999999999e-08,1.0
13,1,0.007281496189534664,,,,1.05e-07,1.0
14,1,0.007265536580234766,,,,1.125e-07,1.0
15,1,0.007232088129967451,,,,1.2000000000000002e-07,1.0
16,1,0.007264850661158562,,,,1.275e-07,1.0
17,1,0.007272135000675917,,,,1.35e-07,1.0
18,1,0.0072563388384878635,,,,1.4249999999999999e-07,1.0
19,1,0.00724942609667778,,,,1.5000000000000002e-07,1.0
20,1,0.007230180315673351,,,,1.575e-07,1.0
21,1,0.007244026754051447,,,,1.65e-07,1.0
22,1,0.007264796644449234,,,,1.725e-07,1.0
23,1,0.007220026105642319,,,,1.8000000000000002e-07,1.0
24,1,0.007247050292789936,,,,1.875e-07,1.0
25,1,0.0072429124265909195,,,,1.9499999999999999e-07,1.0
26,1,0.007223211228847504,,,,2.0250000000000002e-07,1.0
27,1,0.007230307906866074,,,,2.1e-07,1.0
28,1,0.007264451123774052,,,,2.175e-07,1.0
29,1,0.007187984883785248,,,,2.25e-07,1.0
30,1,0.0072466544806957245,,,,2.3250000000000002e-07,1.0
31,1,0.007189637050032616,,,,2.4000000000000003e-07,1.0
32,1,0.007210249081254005,,,,2.475e-07,1.0
33,1,0.007216561585664749,,,,2.55e-07,1.0
34,1,0.007206344977021217,,,,2.625e-07,1.0
35,1,0.007217311300337315,,,,2.7e-07,1.0
36,1,0.007220041006803513,,,,2.7750000000000004e-07,1.0
37,1,0.007212958298623562,,,,2.8499999999999997e-07,1.0
38,1,0.007195997517555952,,,,2.925e-07,1.0
39,1,0.007225204724818468,,,,3.0000000000000004e-07,1.0
40,1,0.0072054266929626465,,,,3.0749999999999997e-07,1.0
41,1,0.007206235080957413,,,,3.15e-07,1.0
42,1,0.0071948738768696785,,,,3.2250000000000004e-07,1.0
43,1,0.007165588438510895,,,,3.3e-07,1.0
44,1,0.007169964723289013,,,,3.375e-07,1.0
45,1,0.007162922527641058,,,,3.45e-07,1.0
46,1,0.0072011202573776245,,,,3.525e-07,1.0
47,1,0.007140567060559988,,,,3.6000000000000005e-07,1.0
48,1,0.007174672093242407,,,,3.675e-07,1.0
49,1,0.0071614873595535755,,,,3.75e-07,1.0
50,1,0.0071737999096512794,,,,3.8250000000000004e-07,1.0
51,1,0.007130362559109926,,,,3.8999999999999997e-07,1.0
52,1,0.007168856915086508,,,,3.975e-07,1.0
53,1,0.007134989369660616,,,,4.0500000000000004e-07,1.0
54,1,0.007140404544770718,,,,4.125e-07,1.0
55,1,0.007140780799090862,,,,4.2e-07,1.0
56,1,0.007098296657204628,,,,4.2750000000000004e-07,1.0
57,1,0.0070773037150502205,,,,4.35e-07,1.0
58,1,0.0070985895581543446,,,,4.425e-07,1.0
59,1,0.007109644822776318,,,,4.5e-07,1.0
60,1,0.00709951389580965,,,,4.575e-07,1.0
61,1,0.007075068540871143,,,,4.6500000000000005e-07,1.0
62,1,0.007086858619004488,,,,4.725e-07,1.0
63,1,0.007076592184603214,,,,4.800000000000001e-07,1.0
64,1,0.007095914334058762,,,,4.875e-07,1.0
65,1,0.007089757826179266,,,,4.95e-07,1.0
66,1,0.007071745116263628,,,,5.025000000000001e-07,1.0
67,1,0.007042799144983292,,,,5.1e-07,1.0
